produto;categoria;usuario;data_comentario;recomendacao;resumo;descricao
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphone
";e-bit;30/03/2017;Recomendo este produto;muito bom;celular muito bom e rápido. a bateria dura bastante com uso considerável. o android é bem limpo. muito bom. só a câmera que, apesar de ter 13 MP, decepciona um pouco na qualidade e definição das imagens.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphone
";Thiago Vicente Batista;30/03/2017;Recomendo este produto;Incrível! O melhor custo benefício!;Incrível! Como comprei receioso por ter menos de um mês de lançamento estou surpreendido com o MotoG5! Pra quem gosta de *** redes sociais, jogar, acesso a internet/email, detalhe tudo simultâneo, sem perder desempenho, neste custo benefício não tem outro igual! Câmeras excelentes frontal q tem a opção de flash embutido (as selfies noturnas ficam ótimas) e a traseira q faz excelentes vídeos. Para meu perfil de uso, só faltou poder configurar o volume das notificações sem alterar o volume do toque de chamada, o que não é possível. Lenovo está de parabéns por lançar aparelhos na categoria Prime a custos abaixo dos R$.1000,00.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphone
";e-bit;27/03/2017;Recomendo este produto;Satisfação plena.;Estou com o aparelho há pouco menos de 20 dias mas, estou muito satisfeito. Espero que dure muito e tenha um ótimo custo-benefício.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphone
";LuskaGarcia;23/03/2017;Recomendo este produto;Produto Otimo e de Bom custo beneficio;O celular tem um otimo custo beneficio,ao olharmos em foto e video para que seu design e feio mais ao olharmos de perto ele e lindo,a duraçao da bateria vai ate o fim do dia,claro que em usos nao extremos,nao possui engasmos,tem bastante bateria,o unico ruim e a camera frontal mais nao aquelas coisas mais nao e tao boa quanto parece
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphone
";marcelo;30/03/2017;Recomendo este produto;Excelente aparelho!;Fiz um upgrade de um celular aparelho com menos processamento e memória e estou muito feliz com o novo aparelho. Muito boa a função de desbloquear e bloquear a tela com o sensor de impressão digital
Smartphone LG K10 Novo M250;"celular-e-smartphone
";e-bit;04/08/2017;Recomendo este produto;LG k10;Celular com boa configuração e preço. Atendeu a expectativa.
Smartphone Samsung Galaxy J7 Prime SM-G610M;"celular-e-smartphone
";Tatiane;02/01/2017;Recomendo este produto;Aparelho bom mas a qualidade da tela TFT FULL HD deixa a desejar;"Bom comprei esse aparelho na cor branca na Onofre. O design é  bonito e o tamanho  é  igual ao Iphone PLUS 6 /7 ou comparando com o Samsung Galaxy s6/s7  edge, ou seja, é  um pouco grande mas para quem gosta de ver vídeo, jogar é  um bom tamanho.
A qualidade  tanto da camera traseira quanto a frontal são  excelentes, quanto  a durabilidade da bateria também  é  boa. Em relação ao processador, identificador digital, memória  interna e expansão de memória  dispensa comentários  são  diferencias  nessa linha intremediaria.
O que me incomodou, que me deixou decepcionada é  a qualidade da tela que é  TFT FULL HD. Bom até  agora não  entendi  o porque  que a Samsung fez um celular desse com essa tela, sendo que hoje em dia a maioria das telas deles são  Amoled ou Super Amoled. Basicamente  a diferença  está  no brilho, ou seja, a capacidade em deixar as cores mais vivas, pois a tela TFT FULL HD faz com que a foto fique com menos brilho do que ficaria em uma tela Amoled que por sua vez, tem menos brilho do que uma Super Amoled.
Então  se você  gosta de cores mais realçadas do que originalmente são  esse celular não  será  um bom investimento. Agora se isso não  for primordial enquanto você está  avaliando qual celular comprar vá  em frente porque tirando isso está  parecendo um bom celular"
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphone
";e-bit;05/04/2017;Recomendo este produto;Mais um aparelho maravilhoso!;Este é o meu terceiro aparelho da Motorola e não compraria um de outra marca!
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphone
";e-bit;07/04/2017;Recomendo este produto;Mais um aparelho de qualidade!;Meu terceiro smartphone da linha e mais um produto de qualidade!
Smartphone Samsung Galaxy J2 Prime SM-G532M;"celular-e-smartphone
";e-bit;19/03/2017;Recomendo este produto;Em geral o produto é bom;Acabei de comprar
